City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,San Quintin,MX,30.4833,-115.95,74.37,67,30,12.59,scattered clouds
79,Nemuro,JP,43.3236,145.575,59.2,89,59,5.7,broken clouds
80,Shimoda,JP,34.6667,138.95,79.16,77,96,8.84,overcast clouds
81,Collie,AU,-33.3667,116.15,51.87,97,100,4.47,overcast clouds
82,Butaritari,KI,3.0707,172.7902,81.07,79,61,8.12,light rain
83,Port Elizabeth,ZA,-33.918,25.5701,55.31,89,75,8.05,broken clouds
84,Mehamn,NO,71.0357,27.8492,53.55,94,20,3.44,few clouds
85,Zhigansk,RU,66.7697,123.3711,52.32,66,100,11.81,overcast clouds
86,Port Alfred,ZA,-33.5906,26.891,55.18,97,99,3.0,overcast clouds
87,Niksic,ME,42.7731,18.9445,55.26,54,0,5.28,clear sky
88,Klaksvik,FO,62.2266,-6.589,47.32,92,99,18.97,overcast clouds
89,Cordoba,AR,-31.4135,-64.1811,61.75,55,0,4.61,clear sky
90,Ust-Tsilma,RU,65.441,52.1498,57.97,82,30,4.92,scattered clouds
91,Wattegama,LK,6.7989,81.4808,74.46,92,98,3.06,overcast clouds
92,Apango,MX,17.7333,-99.3333,77.63,79,85,5.75,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,46,15.12,light rain
94,Faya,SA,18.3851,42.4509,68.11,49,100,5.3,overcast clouds
95,Balakhta,RU,55.38,91.6,56.75,92,99,3.49,overcast clouds
96,Cherskiy,RU,68.75,161.3,47.26,41,11,17.69,few clouds
97,Barrow,US,71.2906,-156.7887,57.22,51,0,12.66,clear sky
98,Hasaki,JP,35.7333,140.8333,84.29,75,94,6.29,light rain
99,Upernavik,GL,72.7868,-56.1549,48.74,68,91,6.29,overcast clouds
100,Kichera,RU,55.9375,110.0997,61.27,79,85,0.22,overcast clouds
101,Benguela,AO,-12.5763,13.4055,65.93,91,43,2.73,scattered clouds
102,Ixtapa,MX,20.7,-105.2,90.63,70,75,6.91,broken clouds
103,Monrovia,LR,6.3005,-10.7969,74.97,81,100,12.57,light rain
104,Imbituba,BR,-28.24,-48.6703,64.09,94,1,5.99,clear sky
105,Elat,IL,29.5581,34.9482,85.84,48,0,12.66,clear sky
106,Bocas Del Toro,PA,9.3333,-82.25,78.6,84,100,6.44,overcast clouds
107,Viedma,AR,-40.8135,-62.9967,51.87,72,86,16.8,light rain
108,Norman Wells,CA,65.282,-126.8329,77.04,33,75,4.61,broken clouds
109,New Norfolk,AU,-42.7826,147.0587,40.91,71,3,1.66,clear sky
110,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,7,18.41,clear sky
111,Patea,NZ,-39.7583,174.4833,54.7,87,100,10.92,moderate rain
112,Talnakh,RU,69.4865,88.3972,54.21,66,99,5.64,overcast clouds
113,Honiara,SB,-9.4333,159.95,86.88,61,73,5.75,broken clouds
114,Batesville,US,35.7698,-91.641,98.08,47,0,13.8,clear sky
115,Ancud,CL,-41.8697,-73.8203,39.22,67,49,9.73,scattered clouds
116,Vestmannaeyjar,IS,63.4427,-20.2734,52.56,84,80,14.47,broken clouds
117,Kodiak,US,57.79,-152.4072,58.51,67,20,6.91,few clouds
118,Vostok,RU,46.4856,135.8833,67.51,90,32,2.26,light rain
119,Ribeira Grande,PT,38.5167,-28.7,70.2,88,20,5.75,few clouds
120,Hunchun,CN,42.8675,130.3581,68.77,97,95,1.77,overcast clouds
121,Seoul,KR,37.5683,126.9778,70.99,94,100,11.5,light rain
122,Nikolskoye,RU,59.7035,30.7861,65.88,80,73,7.38,broken clouds
123,Georgetown,MY,5.4112,100.3354,79.9,94,20,3.44,few clouds
124,Corning,US,42.1428,-77.0547,87.57,57,28,9.62,scattered clouds
125,Hami,CN,42.8,93.45,65.44,53,17,1.57,few clouds
126,Batagay,RU,67.6333,134.6333,52.43,59,97,3.11,overcast clouds
127,California City,US,35.1258,-117.9859,102.94,12,0,21.85,clear sky
128,Washington,US,47.5001,-120.5015,95.77,21,0,9.19,clear sky
129,Kerrville,US,30.0474,-99.1403,100.49,32,0,9.22,clear sky
130,Havelock,US,34.8791,-76.9013,82.38,82,0,16.11,light rain
131,Saint-Pierre,RE,-21.3393,55.4781,67.68,69,20,21.85,few clouds
132,Victoria,HK,22.2855,114.1577,88.97,79,19,5.99,few clouds
133,Saldanha,ZA,-33.0117,17.9442,41.05,68,0,9.62,clear sky
134,Constitucion,CL,-35.3333,-72.4167,51.13,92,4,6.4,clear sky
135,Boysun,UZ,38.2061,67.1986,76.15,24,0,2.93,clear sky
136,La Rioja,ES,42.25,-2.5,60.58,79,0,3.36,clear sky
137,Vigrestad,NO,58.5667,5.7,62.96,95,100,21.61,overcast clouds
138,Verkhnevilyuysk,RU,63.4453,120.3167,60.08,89,100,2.95,overcast clouds
139,Zhanaozen,KZ,43.3,52.8,79.43,37,24,23.76,few clouds
140,Abu Kamal,SY,34.4506,40.9171,87.93,28,0,12.15,clear sky
141,Flinders,AU,-34.5833,150.8552,56.48,92,100,5.01,light rain
142,Zemio,CF,5.0314,25.1361,67.33,97,70,1.34,broken clouds
143,Yelizovo,RU,53.1873,158.3805,62.11,72,40,8.99,scattered clouds
144,Qui Nhon,VN,13.7667,109.2333,75.54,91,100,4.65,overcast clouds
145,Posse,BR,-14.0931,-46.3694,69.15,44,4,7.49,clear sky
146,Matay,EG,28.419,30.7792,79.65,47,0,15.23,clear sky
147,Bubaque,GW,11.2833,-15.8333,77.02,91,100,20.22,moderate rain
148,Isangel,VU,-19.55,169.2667,84.31,74,75,4.61,broken clouds
149,Agogo,GH,6.8,-1.0819,65.39,83,65,5.35,broken clouds
150,Lulea,SE,65.5842,22.1547,60.87,88,100,3.44,overcast clouds
151,Sungurlu,TR,40.1675,34.3739,57.87,64,0,4.61,clear sky
152,Surgut,RU,61.25,73.4167,59.18,76,0,8.99,clear sky
153,Sukhovolya,UA,49.8243,23.8377,56.26,89,5,4.27,clear sky
154,Tokonou,GN,9.65,-9.7833,68.11,98,100,6.44,light rain
155,Ocos,GT,14.5094,-92.1933,89.78,75,97,6.4,overcast clouds
156,Balkhash,KZ,46.844,74.9804,77.61,47,0,11.18,clear sky
157,Vostochnyy,RU,55.8167,37.8667,57.47,95,100,5.46,light rain
158,Harrison,US,30.4091,-89.0436,89.67,76,0,12.66,clear sky
159,Deputatskiy,RU,69.3,139.9,42.15,80,92,12.82,overcast clouds
160,Nichinan,JP,31.6,131.3667,83.88,80,100,11.25,overcast clouds
161,Krasnoarmeysk,RU,51.0239,45.6969,62.35,63,77,7.94,broken clouds
162,Saint-Francois,FR,46.4154,3.9054,63.84,88,75,0.0,broken clouds
163,Poronaysk,RU,49.2167,143.1167,63.41,76,99,8.32,overcast clouds
164,Palmer,US,42.1584,-72.3287,91.0,60,11,3.62,few clouds
165,Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,drizzle
166,Ewa Beach,US,21.3156,-158.0072,83.43,64,100,12.66,light rain
167,Birao,CF,10.2849,22.7882,71.64,91,51,3.89,broken clouds
168,Honjo,JP,36.2333,139.1833,82.44,59,92,0.51,overcast clouds
169,Diego De Almagro,CL,-26.3667,-70.05,60.46,50,100,2.44,overcast clouds
170,Lipari,IT,38.4674,14.954,77.32,62,0,1.28,clear sky
171,Kaniama,CD,-7.5667,24.1833,72.91,45,83,3.91,broken clouds
172,Kavaratti,IN,10.5669,72.642,81.03,79,100,19.22,overcast clouds
173,Kupang,ID,-10.1667,123.5833,79.27,72,91,10.92,overcast clouds
174,Ashland,US,40.8167,-82.2665,84.74,68,8,16.8,clear sky
175,Asau,RO,46.4333,26.4,68.92,73,13,5.17,few clouds
176,Novaya Bryan,RU,51.7159,108.2691,63.12,65,96,2.19,overcast clouds
177,Cidreira,BR,-30.1811,-50.2056,62.15,93,0,16.71,clear sky
178,Ucluelet,CA,48.9329,-125.5528,63.09,85,10,1.01,clear sky
179,Bairiki,KI,1.3292,172.9752,78.8,94,75,10.36,light intensity shower rain
180,Wittenberge,DE,53.0,11.75,80.01,43,36,4.16,scattered clouds
181,Bilma,NE,18.6853,12.9164,89.96,28,71,5.12,broken clouds
182,Fare,PF,-16.7,-151.0167,77.72,70,0,11.63,clear sky
183,Pevek,RU,69.7008,170.3133,31.8,85,99,16.15,overcast clouds
184,Richards Bay,ZA,-28.783,32.0377,62.06,89,19,5.75,few clouds
185,Aberdeen,GB,57.1437,-2.0981,60.21,75,75,9.22,broken clouds
186,Sibolga,ID,1.7427,98.7792,75.36,84,64,3.38,broken clouds
187,Tuatapere,NZ,-46.1333,167.6833,45.09,81,100,3.96,overcast clouds
188,Espinosa,BR,-14.9261,-42.8192,66.88,75,30,4.9,scattered clouds
189,Lima,PE,-12.0432,-77.0282,57.45,82,100,9.22,overcast clouds
190,Khatanga,RU,71.9667,102.5,47.89,62,100,22.24,overcast clouds
191,Dikson,RU,73.5069,80.5464,40.28,79,56,27.98,broken clouds
192,Axim,GH,4.8699,-2.2405,73.11,76,46,8.66,scattered clouds
193,Sao Felix Do Xingu,BR,-6.6447,-51.995,81.01,42,55,1.01,broken clouds
194,Dunedin,NZ,-45.8742,170.5036,45.81,65,100,15.01,overcast clouds
195,Havoysund,NO,70.9963,24.6622,53.83,78,76,10.85,broken clouds
196,Puerto Ayora,EC,-0.7393,-90.3518,67.55,99,89,7.0,overcast clouds
197,Alofi,NU,-19.0595,-169.9187,76.89,73,75,9.22,light intensity shower rain
198,Beringovskiy,RU,63.05,179.3167,44.01,71,99,15.9,overcast clouds
199,Inhambane,MZ,-23.865,35.3833,67.35,85,0,5.46,clear sky
200,Sitka,US,57.0531,-135.33,53.49,82,100,11.5,light rain
201,Mar Del Plata,AR,-38.0023,-57.5575,58.08,61,20,15.99,few clouds
202,San Cristobal,VE,7.7669,-72.225,75.38,98,62,3.8,broken clouds
203,Wajir,KE,1.7471,40.0573,70.12,61,81,11.39,broken clouds
204,Hiriyur,IN,13.9456,76.6192,72.01,86,36,12.08,scattered clouds
205,Torbay,CA,47.6666,-52.7314,65.57,82,100,21.85,overcast clouds
206,Vila Velha,BR,-20.3297,-40.2925,71.55,91,40,8.01,scattered clouds
207,Karratha,AU,-20.7377,116.8463,68.18,57,4,5.91,clear sky
208,Kamien Pomorski,PL,53.9685,14.7726,77.36,46,54,13.42,broken clouds
209,Kato Khorion,GR,35.05,25.7833,76.35,50,0,14.0,clear sky
210,Tipuani,BO,-15.5648,-68.0185,69.21,83,91,2.08,overcast clouds
211,Saskylakh,RU,71.9167,114.0833,48.09,62,51,16.11,broken clouds
212,Ostrovnoy,RU,68.0531,39.5131,47.05,97,19,5.32,few clouds
213,Sinor,IN,21.9167,73.3333,78.82,91,94,7.4,light rain
214,Souillac,MU,-20.5167,57.5167,68.38,77,40,13.8,light rain
215,Lumeje,AO,-11.55,20.7833,61.41,36,4,5.61,clear sky
216,Rio Gallegos,AR,-51.6226,-69.2181,32.05,69,0,19.57,clear sky
217,Alanya,TR,36.5438,31.9998,77.13,52,0,6.78,clear sky
218,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,drizzle
219,Sakakah,SA,29.9697,40.2064,94.57,17,67,5.14,broken clouds
220,Sumbe,AO,-11.2061,13.8437,66.87,91,26,5.95,scattered clouds
221,Tezu,IN,27.9167,96.1667,76.37,98,100,1.57,overcast clouds
222,Labuhan,ID,-6.8844,112.2051,76.48,78,17,13.24,few clouds
223,Black Diamond,US,47.3087,-122.0032,88.21,48,0,5.01,clear sky
224,Yatou,CN,37.15,122.3833,74.93,79,68,6.76,broken clouds
225,Lamu,KE,-2.2717,40.902,71.82,81,16,16.35,light rain
226,Byron Bay,AU,-28.65,153.6167,59.94,75,100,17.09,light rain
227,Vardo,NO,70.3705,31.1107,49.98,100,75,5.75,fog
228,Ahipara,NZ,-35.1667,173.1667,56.23,75,64,22.21,broken clouds
229,Bathsheba,BB,13.2167,-59.5167,81.21,95,20,11.5,few clouds
230,Gusau,NG,12.1628,6.6614,72.28,86,100,6.73,light rain
231,Goderich,CA,43.7501,-81.7165,76.91,73,64,18.41,broken clouds
232,Nainpur,IN,22.4333,80.1167,74.14,97,100,3.31,overcast clouds
233,Leeton,AU,-34.5667,146.4,51.89,64,99,14.43,overcast clouds
234,Albany,US,42.6001,-73.9662,90.18,58,50,4.09,scattered clouds
235,Yeppoon,AU,-23.1333,150.7333,58.78,91,100,19.93,light rain
236,Kolomna,RU,55.0794,38.7783,51.87,97,93,5.61,light rain
237,Vozrozhdeniye,RU,44.5503,38.2136,63.12,79,0,1.07,clear sky
238,Khandyga,RU,62.6667,135.6,80.35,55,0,1.95,clear sky
239,Pitimbu,BR,-7.4706,-34.8086,73.99,87,94,10.98,overcast clouds
240,Dudinka,RU,69.4058,86.1778,54.63,80,99,8.75,overcast clouds
241,Auki,SB,-8.7676,160.7034,85.15,64,100,2.21,overcast clouds
242,Nador,MA,35.174,-2.9287,79.05,78,100,5.75,overcast clouds
